ID,fakenews1,fakenews2,fakenews3,fnsce_press,fnsce_politician,fnsce_citizen,fnsce_enemy,fnsce_ngo,fnsce_mag,fnsce_tv,fnsce_internet,fnsce_mobile,fnsce_nbr,fndt_gov,fndt_con,fndt_dem,fndt_pln,fndt_press,fn_self,fn_other,fncheck_friend,fncheck_book,fncheck_expert,fncheck_factcheck,fnrespond1,fnrespond_2,fnrespond_3,fnrespond_4,fn_edu,v_o_1,v_o_2,v_o_3,v_o_4,v_o_5,v_o_6,fc,fc_usage,fc_power,tfc,tfc_power,fnresponsibility_src,fnresponsibility_press,fnresponsibility_official,fnresponsibility_platform,fnresponsibility_citizen,fnlaws,fn_gov,fn_tech,party,pan,city,sex,age,edu,job,job_other,incomelevel,classlevel,monthincome_self,monthincome_family,father,father_other,mother,mother_other,partner,partner_other,carlis,motorlis,CDC,vaccines,@2024president,dppscore,kmtscore,tppscore,nppscore,tspscore,pfpscore,npscore,tsaiscore,laiscore,chuscore,houscore,koscore,usascore,chinascore,taiwanese,chinese,ethic,sovereignty,cultrue,fakenews_indicator
NPRMSSM,1,1,2,1,2,2,3,1,1,2,2,2,1,0,0,0,0,1,1,3,0,0,1,1,1,0,1,1,2,1,1,0,0,0,0,1,1.0,2.0,1,2.0,2,3,2,3,2,2,1,0,6.0,1,2,1,1,2,8,12,4.0,4.0,6,10,0,5,7,5,6,3,0,0,0,0,0.0,6.0,2.0,6.0,6.0,6.0,5.0,1.0,7.0,6.0,5.0,5.0,4.0,7.0,2.0,2,1,0,4,1,2
YJEKZLT,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,0,0,2,2,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,1,1.0,2.0,1,2.0,2,2,2,2,2,2,1,1,4.0,2,2,1,1,2,6,12,7.0,7.0,1,4,6,5,7,5,6,3,0,0,0,2,1.0,5.0,1.0,7.0,3.0,3.0,2.0,2.0,5.0,6.0,5.0,4.0,8.0,8.0,3.0,1,1,1,4,1,4
PKYXVQQ,1,1,2,3,3,2,3,2,3,3,3,3,2,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,2,1,1,1,0,1,0,1,1.0,2.0,1,2.0,2,3,3,3,2,2,0,0,2.0,1,14,1,2,3,0,12,4.0,4.0,8,0,7,5,7,5,6,3,0,0,0,3,1.0,2.0,7.0,8.0,3.0,1.0,3.0,2.0,1.0,5.0,7.0,8.0,8.0,3.0,2.0,2,1,0,4,2,3
YAQOZXY,1,1,2,1,1,1,1,1,1,1,0,3,1,1,1,0,0,1,2,2,1,1,1,1,1,1,1,1,2,1,0,1,0,0,1,1,2.0,2.0,1,,3,3,3,2,2,3,0,0,6.0,2,0,1,0,4,7,12,7.0,8.0,6,0,7,5,7,5,6,3,0,0,0,1,2.0,1.0,6.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,9.0,9.0,6.0,7.0,1.0,2,2,0,4,3,4
XBVFTPY,0,1,2,2,2,2,2,2,3,2,2,1,1,1,1,0,1,1,2,2,0,1,1,1,1,1,1,1,2,0,1,0,1,1,1,1,2.0,2.0,0,,1,2,2,1,2,1,0,0,2.0,2,2,1,4,2,5,12,3.0,4.0,7,9,7,5,7,5,6,3,0,0,0,2,1.0,3.0,4.0,10.0,6.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,7.0,7.0,2,2,0,3,2,3
AANMTNV,1,2,2,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,2,2,1,1,1,1,1,1,0,0,2,1,0,1,0,1,0,1,1.0,1.0,1,1.0,2,2,2,2,2,2,1,1,6.0,1,11,0,2,4,8,12,3.0,2.0,8,1,7,5,6,5,4,3,1,1,1,0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,2,1,0,3,2,4
VWOVCIV,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,0,0,2,1,1,1,0,0,0,1,1.0,1.0,1,2.0,2,2,3,3,3,2,0,0,6.0,1,14,0,3,2,2,12,8.0,8.0,8,9,7,5,7,5,8,3,0,0,1,2,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,10.0,8.0,2.0,1.0,3,0,1,4,1,1
ZCEXIHQ,0,1,1,1,1,1,1,1,0,0,2,1,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,3,1,0,0,1,1,1,1,,1.0,0,,3,3,3,3,3,3,1,1,6.0,1,11,0,6,2,5,12,2.0,3.0,7,7,5,5,7,5,6,3,0,0,1,0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,2,2,0,3,2,1
EGSIMCN,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,0,2,2,2,2,1,1,1,1,1,1,0,0,2,1,0,0,1,0,1,1,2.0,2.0,1,2.0,2,2,2,2,2,2,0,0,5.0,3,20,1,2,2,8,12,5.0,5.0,8,1,7,5,6,5,8,3,0,0,1,2,4.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2,1,1,4,2,4
LIAPFGF,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1.0,2.0,0,,2,2,2,2,2,2,0,0,2.0,2,14,0,3,2,2,12,4.0,5.0,8,10,7,5,7,5,6,3,0,0,0,2,2.0,4.0,8.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,8.0,7.0,6.0,2,2,0,3,2,4
